"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Caracara plancus",44.6,30.3,14.5,23.7,81.9,380,101.7,276.8,26.7,205.7,14.5,20,0,20,0,0,60,0,0,0,0,0,0,100,0,0,0,0,0,0
"Cardellina pusilla",11.6,6.6,3.2,3.1,17.9,56.3,11.5,44.1,20.7,48.1,7,80,0,0,80,0,0,0,10,10,0,0,0,0,20,80,0,0,0,0
"Cardinalis cardinalis",17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,20,0,0,0,0,0,10,0,0,70,0,0,40,20,20,20,0,0,0
"Cardinalis sinuatus",15.3,10.3,7.3,12.6,24.4,93.3,13.9,79.4,14.9,103.2,35.2,30,0,0,0,0,0,0,0,70,0,0,0,60,20,10,10,0,0,0
"Cathartes aura",51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0
"Catharus guttatus",18.8,9.2,3.4,3.7,28.9,89,24,65.3,26.9,67.7,30.1,80,0,0,0,0,0,20,0,0,0,0,0,50,50,0,0,0,0,0
"Catherpes mexicanus",23.9,15.7,3.2,3.4,18.6,64.3,8.3,55.3,13.2,56,12,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"Certhia americana",16.2,9.6,2,2.8,14.2,63.6,15.3,48.2,24.1,63.3,8.1,70,0,0,0,0,0,0,0,20,10,0,0,10,30,30,30,0,0,0
"Chamaea fasciata",12.8,6.7,3,3.8,24.9,58,6.8,50.9,11.8,83.4,14.7,50,0,0,0,0,0,30,0,20,0,0,0,0,80,20,0,0,0,0
"Charadrius vociferus",21.5,13.1,3.5,4.2,34.4,158.8,83.5,75.2,52.6,85.8,96.4,90,0,0,0,0,0,0,0,10,0,0,0,100,0,0,0,0,0,0
